pk_blobs_01.id1,blobs_01.frame_id1,blobs_01.x1,blobs_01.y1,blobs_01.w1,blobs_01.h1,blobs_01.u1
141,73,11,1164,373,56,145
142,74,16,1157,577,73,246
143,74,12,1214,566,105,270
144,74,15,1534,673,99,298
145,74,11,1163,373,56,147
146,75,16,1140,585,71,227
147,75,12,1214,558,102,301
148,75,15,1517,677,106,293
149,75,11,1162,373,56,151
150,76,16,1140,587,69,222
151,76,12,1209,559,108,304
152,76,15,1508,679,102,311
153,76,11,1160,375,57,150
154,77,16,1140,589,68,214
155,77,12,1206,559,110,307
156,77,15,1484,693,118,288
157,77,11,1160,375,57,148
158,78,16,1140,585,68,215
159,78,12,1207,560,108,306
160,78,15,1475,687,124,297
161,78,11,1159,377,57,144
162,79,16,1140,584,66,213
163,79,12,1206,560,109,306
164,79,15,1457,643,151,332
165,79,11,1159,378,57,144
166,80,16,1141,585,64,215
167,80,12,1204,566,112,295
168,80,15,1446,658,158,312
169,80,11,1159,377,56,148
170,81,16,1141,585,63,217
171,81,12,1203,570,114,288
172,81,15,1439,667,155,303
173,81,11,1159,378,56,147
174,82,16,1142,587,62,212
175,82,12,1202,578,114,280
176,82,15,1435,666,152,307
177,82,11,1159,381,56,142
178,83,16,1138,586,63,205
179,83,12,1190,594,120,256
180,83,15,1450,684,116,304
181,83,11,1160,381,56,141
182,84,16,1137,585,64,204
183,84,12,1199,584,118,283
184,84,15,1441,681,114,310
185,84,11,1160,382,55,139
186,85,16,1135,581,63,211
187,85,12,1199,589,117,279
188,85,15,1440,686,97,307
189,85,11,1159,383,55,138
190,86,16,1135,581,63,208
191,86,12,1201,591,118,289
192,86,15,1437,683,99,312
193,86,11,1159,382,55,140
194,87,16,1138,576,60,210
195,87,12,1203,596,117,279
196,87,11,1159,381,56,143
197,88,12,1208,598,112,280
198,88,15,1411,668,95,339
199,88,11,1157,380,55,158
200,89,12,1210,597,109,288
201,89,15,1401,677,99,324
202,89,11,1158,381,56,160
203,90,12,1212,603,105,296
204,90,15,1387,682,107,314
205,90,11,1158,380,56,161
206,91,12,1214,606,107,292
207,91,15,1360,687,130,309
208,91,11,1158,380,54,160
209,92,12,1220,609,100,285
210,92,15,1334,684,165,311
211,92,11,1157,381,54,157
212,93,12,1233,605,89,293
213,93,15,1330,688,162,306
214,93,11,1158,380,52,161
215,94,12,1237,603,86,299
216,94,15,1345,703,133,286
217,94,11,1157,376,53,173
218,95,12,1243,606,85,294
219,95,15,1310,695,168,299
220,95,11,1157,375,54,177
221,96,16,1135,543,44,228
222,96,12,1254,609,81,290
223,96,15,1306,695,168,298
224,96,11,1157,374,54,182
225,97,16,1131,544,43,219
226,97,12,1258,610,87,292
227,97,15,1324,696,136,297
228,97,11,1157,372,53,190
229,98,16,1131,545,41,219
230,98,12,1261,609,85,296
231,98,15,1324,695,128,304
232,98,11,1157,373,53,189
233,99,16,1131,548,44,212
234,99,12,1262,612,87,294
235,99,15,1316,700,127,298
236,99,11,1157,378,55,182
237,100,16,1128,548,47,205
238,100,12,1266,624,86,279
239,100,15,1312,708,120,290
240,100,11,1156,381,57,177
241,101,16,1129,547,45,207
242,101,12,1268,628,83,277
243,101,15,1311,706,111,298
244,101,11,1156,382,57,176
245,102,15,1296,704,115,294
246,102,11,1156,387,57,167
247,103,15,1291,701,112,299
248,103,11,1158,390,57,164
249,104,11,1159,390,57,163
250,105,11,1160,393,58,158
251,106,15,1275,673,150,348
252,106,11,1160,399,59,148
253,107,16,1123,539,51,216
254,107,11,1161,399,60,148
255,108,11,1161,398,59,151
256,109,11,1164,393,53,177
257,110,11,1165,390,51,181
258,111,11,1165,391,49,182
259,112,15,1258,714,119,288
260,112,11,1166,394,52,176
261,113,11,1164,397,55,172
262,114,15,1260,713,107,296
263,114,11,1164,398,53,170
264,115,15,1261,711,110,303
265,115,11,1165,394,52,177
266,116,15,1261,715,110,294
267,116,11,1163,395,53,176
268,117,15,1261,712,108,304
269,117,11,1162,392,54,183
270,118,15,1260,711,111,305
271,118,12,1329,697,99,297
272,118,11,1162,395,52,177
273,119,15,1261,710,112,307
274,119,12,1330,698,104,301
275,119,11,1162,398,51,171
276,120,15,1262,704,102,323
277,120,12,1333,695,104,316
278,120,11,1161,401,51,166
279,121,15,1258,703,103,323
280,121,12,1326,688,117,326
281,121,11,1161,404,51,160
282,122,15,1256,698,104,336
283,122,12,1325,687,118,337
284,122,11,1160,407,54,156
285,123,16,1130,513,55,193
286,123,15,1254,701,99,326
287,123,12,1328,690,122,331
288,123,11,1158,409,57,156
289,124,16,1127,513,57,190
290,124,15,1246,697,101,336
291,124,12,1334,692,117,325
292,124,11,1158,408,58,163
293,125,16,1125,513,57,188
294,125,15,1239,693,97,341
295,125,12,1337,694,115,318
296,125,11,1158,410,57,162
297,126,16,1127,512,57,187
298,126,15,1234,691,93,337
299,126,12,1338,693,117,323
300,126,11,1158,411,58,159
301,127,16,1127,513,58,185
302,127,15,1225,691,100,334
303,127,12,1346,690,124,330
304,127,11,1158,413,58,155
305,128,16,1124,513,60,185
306,128,15,1217,696,108,322
307,128,12,1344,691,127,335
308,128,11,1158,416,56,150
309,129,16,1125,511,59,186
310,129,15,1210,696,113,314
311,129,12,1345,698,129,328
312,129,11,1158,417,57,150
313,130,16,1125,514,58,180
314,130,15,1206,682,115,328
315,130,12,1346,704,136,324
316,130,11,1158,421,58,144
317,131,16,1124,511,61,179
318,131,15,1204,677,118,330
319,131,12,1348,708,142,315
320,131,11,1158,422,58,142
321,132,16,1123,508,62,183
322,132,15,1205,680,113,321
323,132,12,1350,709,140,338
324,132,11,1162,408,51,191
325,133,16,1123,504,60,189
326,133,15,1208,681,107,319
327,133,12,1351,715,150,335
328,133,11,1161,407,52,193
329,134,16,1122,502,61,187
330,134,15,1203,682,91,311
331,134,12,1348,714,156,341
332,134,11,1161,410,53,190
333,135,16,1123,501,60,187
334,135,15,1198,681,97,309
335,135,12,1355,722,162,329
336,135,11,1163,409,51,192
337,136,16,1126,501,61,188
338,136,15,1190,686,96,298
339,136,12,1356,725,168,332
340,136,11,1163,408,52,196
341,137,11,1154,425,73,181
342,137,16,1126,502,63,185
343,137,15,1180,671,100,307
344,137,12,1357,730,171,326
345,138,11,1155,425,74,186
346,138,16,1127,497,61,191
347,138,15,1175,675,99,297
348,138,12,1372,723,167,335
349,139,11,1153,424,75,190
350,139,15,1166,672,105,303
351,139,12,1378,724,165,340
352,140,11,1157,424,71,191
353,140,15,1158,669,109,299
354,140,12,1387,725,157,344
355,141,11,1158,428,72,187
356,141,15,1147,670,118,291
357,141,12,1421,737,120,329
358,142,11,1154,432,77,186
359,142,15,1143,660,117,307
360,142,12,1417,740,138,329
361,143,11,1151,431,80,191
362,143,15,1141,658,112,309
363,143,12,1423,739,139,328
364,144,11,1151,430,80,196
365,144,15,1138,659,116,307
366,144,12,1426,741,141,328
367,145,11,1154,432,77,190
368,145,15,1137,651,110,313
369,145,12,1430,739,145,330
370,146,11,1155,433,78,188
371,146,15,1138,651,109,310
372,146,12,1430,743,147,326
373,147,11,1156,434,75,188
374,147,15,1138,644,106,316
375,147,12,1434,738,145,334
376,148,11,1158,434,76,183
377,148,15,1141,646,102,308
378,148,12,1439,741,144,328
379,149,11,1161,434,75,187
380,149,16,1133,466,65,189
381,149,15,1143,639,99,312
382,149,12,1441,736,143,333
383,150,11,1163,434,76,188
384,150,16,1130,471,64,180
385,150,15,1143,639,100,311
386,150,12,1456,756,127,323
387,151,11,1164,436,77,185
388,151,15,1145,640,103,307
389,151,12,1460,761,128,318
390,151,16,1127,474,49,184
391,152,11,1169,436,75,186
392,152,15,1145,635,109,295
393,152,12,1462,771,131,303
394,153,11,1172,436,78,184
395,153,15,1142,633,113,286
396,153,12,1450,774,165,309
397,153,16,1125,481,48,168
398,154,11,1173,438,81,183
399,154,16,1105,478,66,167
400,154,15,1143,634,113,276
401,154,12,1474,778,131,303
402,155,11,1170,438,86,182
403,155,16,1101,479,66,167
404,155,15,1143,628,110,280
405,155,12,1480,784,128,296
406,156,11,1172,438,87,183
407,156,16,1100,476,66,169
408,156,15,1143,624,105,281
409,156,12,1493,779,128,304
410,157,11,1176,441,86,176
411,157,16,1098,474,64,172
412,157,15,1142,621,105,286
413,157,12,1502,787,121,293
414,158,11,1182,440,82,177
415,158,16,1098,476,61,170
416,158,15,1145,617,101,292
417,158,12,1507,795,124,285
418,159,11,1185,441,82,180
419,159,16,1098,475,61,168
420,159,15,1145,615,100,294
421,159,12,1510,803,128,271
422,160,11,1185,441,83,184
423,160,16,1099,476,65,165
424,160,15,1145,613,98,296
425,160,12,1516,811,129,264
426,161,11,1190,439,80,189
427,161,16,1099,475,65,165
428,161,15,1148,616,93,284
429,161,12,1527,817,123,255
430,162,11,1191,438,81,191
431,162,16,1097,477,65,166
432,162,15,1145,614,92,280
433,162,12,1530,820,129,255
434,163,16,1095,476,69,165
435,163,11,1188,447,78,195
436,163,15,1145,612,95,258
437,163,12,1540,821,132,257
438,164,16,1093,479,69,163
439,164,11,1189,452,78,189
440,164,15,1142,608,98,264
441,164,12,1548,824,133,249
442,165,16,1093,479,71,164
443,165,11,1190,457,79,186
444,165,15,1143,602,90,273
445,165,12,1546,828,144,246
446,166,16,1093,474,70,167
447,166,11,1191,456,74,185
448,166,15,1143,601,92,271
449,166,12,1561,828,146,243
450,167,11,1191,457,75,184
451,167,15,1141,598,91,274
452,167,12,1577,834,138,231
453,167,16,1102,477,52,153
454,168,11,1190,458,76,184
455,168,15,1138,598,97,268
456,168,12,1584,834,136,233
457,168,16,1101,474,51,155
458,169,11,1189,460,76,183
459,169,15,1138,594,95,270
460,169,12,1600,841,125,233
461,169,16,1099,477,52,147
462,170,11,1189,461,75,181
463,170,15,1137,591,95,273
464,170,12,1607,843,129,230
465,170,16,1100,473,52,153
466,171,11,1190,464,75,178
467,171,15,1136,586,96,279
468,171,12,1612,845,132,230
469,171,16,1101,467,51,163
470,172,15,1138,581,92,283
471,172,12,1613,849,139,228
472,172,11,1206,454,60,164
473,173,15,1136,574,93,290
474,173,12,1613,860,150,216
475,173,16,1099,471,57,149
476,173,11,1204,458,58,171
477,174,15,1135,573,97,290
478,174,12,1625,863,155,209
479,174,16,1102,460,56,167
480,174,11,1204,456,58,176
481,175,11,1193,463,77,173
482,175,15,1136,571,95,292
483,175,12,1626,867,169,204
484,175,16,1100,463,59,159
485,176,11,1192,463,77,175
486,176,15,1137,569,94,292
487,176,12,1631,873,172,199
488,176,16,1102,463,60,159
489,177,11,1192,465,78,173
490,177,15,1139,573,90,282
491,177,12,1640,881,171,192
492,177,16,1103,459,60,167
493,178,11,1190,468,79,167
494,178,15,1140,581,89,260
495,178,12,1649,883,169,191
496,178,16,1105,457,59,171
497,179,11,1189,467,82,168
498,179,15,1145,566,83,257
499,179,12,1657,889,164,187
500,179,16,1110,458,53,151
501,180,11,1188,468,81,169
502,180,15,1144,564,85,258
503,180,12,1668,895,162,184
504,180,16,1111,458,55,151
505,181,16,1106,447,69,168
506,181,11,1190,467,80,167
507,181,15,1145,567,85,251
508,181,12,1673,898,161,179
509,182,11,1187,469,87,171
510,182,15,1143,565,92,256
511,182,12,1672,905,166,172
512,182,16,1119,448,55,167
513,183,11,1187,472,86,159
514,183,15,1141,565,94,251
515,183,12,1697,901,169,181
516,183,16,1122,444,52,177
517,184,15,1142,566,94,251
518,184,12,1707,900,164,182
519,184,16,1123,442,50,181
520,184,11,1201,475,66,151
521,185,15,1142,565,97,249
522,185,12,1715,905,160,172
523,185,16,1128,440,42,183
524,185,11,1201,476,67,150
525,186,15,1144,564,91,249
526,186,12,1720,929,157,146
527,186,11,1203,480,67,141
528,187,15,1143,553,91,258
529,187,11,1205,482,66,139
530,188,15,1146,553,88,258
531,188,12,1752,947,146,125
532,189,15,1148,556,83,249
533,189,12,1759,948,149,124
534,190,11,1194,484,81,168
535,190,15,1150,489,83,311
536,191,11,1195,487,81,162
537,191,15,1150,502,86,287
538,192,11,1196,487,82,163
539,192,15,1145,502,90,288
540,193,11,1192,489,83,166
541,193,15,1145,486,92,303
542,194,11,1194,491,78,217
543,194,15,1152,478,87,318
544,195,11,1201,490,76,218
545,195,15,1138,491,75,289
546,196,11,1201,488,77,223
547,196,15,1136,496,77,273
548,197,-1,1125,456,82,304
549,197,11,1201,487,76,224
550,198,15,1123,461,82,290
551,198,11,1203,487,77,221
552,199,15,1123,465,80,285
553,199,11,1206,490,76,220
554,200,15,1123,461,77,293
555,200,11,1206,493,77,216
556,201,15,1122,461,78,292
557,201,11,1207,492,78,223
558,202,15,1120,469,82,275
559,202,11,1206,494,79,217
560,203,11,1206,496,81,224
561,203,15,1125,526,82,233
562,204,11,1205,498,85,222
563,204,15,1125,529,80,229
564,205,11,1202,497,93,222
565,205,15,1126,524,75,233
566,206,15,1124,468,72,271
567,206,11,1205,501,90,212
568,207,15,1123,468,72,269
569,207,11,1204,501,92,205
570,208,11,1205,504,90,205
571,208,15,1124,532,71,218
572,208,16,1144,449,44,112
573,209,15,1122,486,72,239
574,209,11,1215,503,92,215
575,209,16,1145,449,45,109
576,210,15,1121,491,72,233
577,210,11,1216,501,91,221
578,211,15,1118,489,75,234
579,211,11,1219,502,97,222
580,211,16,1148,451,48,108
581,212,15,1118,492,77,229
582,212,11,1224,500,90,225
583,212,16,1144,451,51,106
584,213,15,1117,487,77,235
585,213,11,1229,494,87,231
586,214,15,1112,482,80,239
587,214,11,1229,491,86,235
588,215,15,1103,486,89,236
589,215,11,1223,493,91,235
590,216,15,1100,487,92,234
591,216,11,1223,503,93,224
592,216,9,1244,459,56,98
593,217,15,1097,485,100,234
594,217,11,1219,503,96,224
595,218,15,1093,499,104,217
596,218,11,1218,502,98,225
597,219,15,1090,501,110,215
598,219,11,1220,497,98,234
599,220,15,1088,496,110,222
600,220,11,1223,499,98,229
601,221,9,1191,457,63,195
602,221,15,1089,497,110,222
603,221,11,1231,499,90,228
604,222,9,1180,459,62,183
605,222,15,1090,499,108,219
606,222,11,1235,503,88,224
607,223,9,1179,460,59,184
608,223,15,1095,497,102,223
609,223,11,1235,500,86,230
610,224,16,1177,461,60,182
611,224,15,1099,497,100,223
612,224,11,1230,499,92,229
613,225,16,1176,460,63,188
614,225,15,1100,496,96,223
615,225,11,1228,501,94,227
616,226,16,1174,457,64,191
617,226,15,1099,498,91,220
618,226,11,1231,500,89,227
619,227,16,1169,457,63,202
620,227,15,1099,496,81,221
621,227,11,1233,502,88,223
622,228,16,1168,458,62,208
623,228,15,1104,494,78,223
624,228,11,1236,500,82,227
625,229,16,1169,462,59,203
626,229,15,1103,494,79,221
627,229,11,1238,500,78,227
628,230,9,1172,464,57,202
629,230,15,1104,489,76,227
630,230,11,1237,500,79,227
631,231,15,1104,492,69,223
632,231,11,1240,503,76,222
633,231,9,1169,461,49,217
634,232,9,1170,466,54,201
635,232,15,1105,491,67,224
636,232,11,1242,504,76,221
637,233,16,1170,468,55,197
638,233,15,1104,488,69,228
639,233,11,1242,504,75,221
640,234,16,1170,468,56,195
641,234,15,1107,484,71,229
642,234,11,1240,504,81,219
643,235,16,1166,469,62,196
644,235,15,1110,482,70,226
645,235,11,1238,504,85,217
646,236,16,1169,472,57,197
647,236,15,1112,479,70,227
648,236,11,1239,504,84,217
649,237,16,1172,475,56,192
650,237,15,1116,481,74,224
651,237,11,1240,504,81,220
652,238,15,1116,483,71,222
653,238,11,1240,504,79,220
654,238,16,1180,466,43,214
655,239,15,1118,486,66,219
656,239,11,1239,505,80,217
657,239,16,1179,476,45,196
658,240,15,1118,489,63,218
659,240,11,1238,505,78,219
660,240,16,1181,464,49,214
661,241,15,1114,490,69,220
662,241,11,1234,524,90,207
663,241,16,1181,470,50,201
664,242,15,1110,486,77,225
665,242,16,1194,486,69,218
666,242,11,1228,523,96,210
667,243,15,1109,479,77,229
668,243,16,1193,482,67,223
669,243,11,1226,524,97,211
670,244,15,1105,477,85,233
671,244,16,1191,492,67,215
672,244,11,1223,523,96,217
673,245,15,1102,476,87,239
674,245,11,1219,522,96,221
675,246,15,1106,475,83,241
676,246,11,1204,506,87,245
677,247,15,1115,484,77,224
678,247,11,1201,502,88,252
679,248,9,1065,462,62,202
680,248,15,1125,493,75,206
681,248,11,1200,513,88,229
682,249,9,1064,465,62,200
683,249,15,1127,500,78,201
684,249,11,1198,512,89,230
685,250,9,1064,462,59,199
686,250,15,1129,505,77,204
687,250,11,1201,516,86,224
688,251,9,1061,465,55,198
689,251,15,1131,500,78,211
690,251,11,1203,512,82,232
691,252,9,1062,465,51,199
692,252,15,1132,502,79,210
693,252,11,1197,514,87,228
694,253,9,1061,466,52,201
695,253,15,1129,506,81,199
696,253,11,1191,516,87,227
697,254,9,1058,468,54,196
698,254,11,1182,515,87,234
699,255,9,1054,465,51,201
700,255,11,1180,516,85,236
701,255,16,1166,487,59,131
702,256,9,1046,466,50,203
703,256,11,1175,513,88,240
704,256,16,1173,486,56,133
705,257,9,1039,468,50,202
706,257,11,1177,513,83,244
707,257,16,1177,483,52,137
708,258,9,1031,470,54,200
709,258,11,1185,519,81,238
710,258,15,1178,486,53,129
711,259,9,1023,469,59,197
712,259,11,1186,509,77,251
713,260,9,1012,472,76,194
714,260,11,1187,515,80,243
715,261,9,1005,467,79,201
716,261,11,1186,511,75,249
717,262,9,1000,470,83,196
718,262,11,1187,513,75,249
719,263,9,993,470,96,195
720,263,16,1254,486,68,219
721,263,11,1185,513,76,252
722,264,9,996,472,89,192
723,264,16,1252,484,66,225
724,264,11,1184,517,77,245
725,265,9,998,473,83,191
726,265,16,1255,490,65,217
727,265,11,1185,529,78,237
728,266,9,1000,475,75,191
729,266,16,1255,492,66,220
730,266,11,1185,533,73,238
731,267,9,1000,474,55,193
732,267,11,1184,541,79,231
733,268,9,996,473,50,189
734,268,11,1185,542,78,229
735,269,11,1187,546,79,224
736,269,9,985,458,52,224
737,270,9,980,465,48,195
738,270,11,1184,555,73,228
739,271,9,975,466,51,193
740,271,11,1183,557,75,226
741,272,9,969,466,50,196
742,272,11,1183,559,73,236
743,273,9,961,468,53,192
744,273,11,1185,560,73,240
745,274,9,954,470,57,188
746,274,11,1187,563,77,239
747,275,9,953,467,56,190
748,275,15,1256,494,68,228
749,275,11,1189,564,79,244
750,276,9,952,471,54,182
751,276,15,1252,495,70,218
752,276,11,1190,565,85,242
753,277,9,950,469,54,184
754,277,11,1194,565,83,242
755,278,9,952,467,51,191
756,278,11,1195,566,83,244
757,279,9,951,468,51,190
758,279,11,1197,570,74,241
759,280,9,951,467,52,187
760,280,11,1196,572,77,233
761,281,9,952,468,49,192
762,281,11,1198,576,78,236
763,282,9,950,468,48,191
764,282,11,1203,576,71,238
765,283,9,950,469,48,188
766,283,11,1204,571,74,247
767,284,9,951,468,48,189
768,284,11,1204,570,79,251
769,285,9,950,468,49,188
770,285,11,1203,566,78,257
771,286,9,951,467,50,185
772,286,11,1201,588,78,251
773,287,9,952,467,48,186
774,287,11,1202,586,75,260
775,288,9,951,469,47,187
776,288,11,1202,548,74,294
777,289,9,952,469,48,184
778,289,11,1204,584,71,262
779,289,16,1203,532,54,110
780,290,9,951,467,48,188
781,290,11,1203,587,72,257
782,290,16,1196,530,61,116
783,291,9,952,467,52,188
784,291,11,1202,594,72,248
785,291,16,1195,532,58,117
786,292,9,953,467,53,188
787,292,11,1196,548,75,285
788,293,9,951,467,55,187
789,293,11,1200,591,75,252
790,294,9,952,468,58,186
791,294,16,1173,534,74,151
792,294,11,1199,598,80,248
793,295,9,952,466,59,187
794,295,11,1199,593,80,257
795,296,9,952,468,61,186
796,296,11,1199,594,82,261
797,297,9,952,467,64,185
798,297,11,1198,597,85,264
799,298,9,951,468,63,186
800,298,11,1201,593,78,268
801,299,9,951,468,66,185
802,299,16,1164,534,65,212
803,299,11,1200,603,82,257
804,300,9,952,470,65,186
805,300,16,1163,537,64,205
806,300,11,1201,603,79,260
807,301,9,955,471,62,188
808,301,16,1159,539,64,208
809,301,11,1201,604,81,257
810,302,9,956,471,62,191
811,302,16,1156,545,66,210
812,302,11,1206,622,105,264
813,303,9,956,474,63,187
814,303,16,1156,545,65,215
815,303,11,1208,620,103,274
816,304,9,959,475,60,193
817,304,16,1158,545,61,221
818,304,11,1207,621,106,276
819,305,9,962,476,61,195
820,305,16,1158,546,63,225
821,305,11,1210,622,104,277
822,306,9,964,479,62,191
823,306,16,1159,546,63,228
824,306,11,1213,628,102,275
825,307,9,964,480,64,187
826,307,16,1163,551,59,218
827,307,11,1213,629,104,277
828,308,9,968,478,62,191
829,308,16,1165,564,59,216
830,308,11,1215,633,104,278
831,309,9,967,478,63,196
832,309,16,1166,560,59,228
833,309,11,1215,634,107,283
834,310,9,972,476,59,200
835,310,16,1167,560,59,230
836,310,11,1216,634,103,291
837,311,9,975,476,56,200
838,311,16,1167,564,55,230
839,311,11,1220,631,102,301
840,312,9,976,477,58,199
841,312,16,1170,566,56,234
842,312,11,1224,637,93,312
843,313,9,979,480,58,195
844,313,16,1169,567,55,236
845,313,11,1224,642,94,306
846,314,9,987,483,51,204
847,314,16,1171,568,52,240
848,314,11,1220,644,99,306
849,315,9,989,484,51,203
850,315,16,1172,570,51,237
851,315,11,1218,648,104,312
852,316,9,993,481,52,207
853,316,16,1176,574,48,229
854,316,11,1215,653,107,313
855,317,9,995,481,53,207
856,317,16,1177,576,48,227
857,317,11,1219,658,101,313
858,318,9,998,485,54,203
859,318,16,1180,577,45,232
860,318,11,1223,660,95,312
861,319,9,998,486,57,204
862,319,16,1180,576,45,237
863,319,11,1220,661,97,311
864,320,9,999,487,60,203
865,320,16,1183,581,51,228
866,320,11,1222,666,99,305
867,321,9,999,484,61,207
868,321,11,1224,668,100,300
869,322,9,998,488,64,204
870,322,16,1187,583,56,228
871,322,11,1225,672,103,295
872,323,9,1003,489,65,206
873,323,16,1189,587,52,220
874,323,11,1223,669,105,307
875,324,9,1005,489,64,210
876,324,16,1191,589,51,216
877,324,11,1226,678,101,313
878,325,9,1007,492,64,207
879,325,16,1195,594,53,208
880,325,11,1223,678,105,320
881,326,9,1010,496,63,203
882,326,16,1195,594,57,209
883,326,11,1226,682,102,318
884,327,9,1012,498,59,202
885,327,16,1197,606,55,211
886,327,11,1226,686,106,319
887,328,9,1019,496,54,209
888,328,16,1198,605,53,217
889,328,11,1227,691,105,315
890,329,9,1020,501,57,210
891,329,16,1204,603,55,219
892,329,11,1230,694,104,321
893,330,9,1024,501,56,214
894,330,16,1206,605,51,225
895,330,11,1231,694,103,325
896,331,9,1027,499,56,215
897,331,16,1206,611,63,220
898,331,11,1238,701,101,322
899,332,9,1029,499,56,217
900,332,16,1206,612,63,228
901,332,11,1241,705,101,311
902,333,9,1033,500,54,225
903,333,16,1212,616,61,226
904,333,11,1244,705,104,314
905,334,9,1036,502,58,226
906,334,16,1212,615,65,229
907,334,11,1246,701,103,322
908,335,9,1038,506,58,218
909,335,11,1247,703,101,319
910,336,9,1041,509,59,211
911,336,16,1214,618,65,223
912,336,11,1254,707,104,313
913,337,9,1044,508,60,215
914,337,16,1213,623,69,217
915,337,11,1253,704,113,345
916,338,9,1045,509,62,215
917,338,16,1214,626,67,217
918,338,11,1253,703,116,348
919,339,9,1046,510,61,214
920,339,16,1215,625,68,225
921,339,11,1256,707,117,347
922,340,9,1056,511,54,232
923,340,16,1215,622,67,229
924,340,11,1254,713,119,346
925,341,9,1059,514,54,229
926,341,16,1227,626,64,221
