in__blobs_00.pdf_id,out__sentiment01.score,out__sentiment01.label,out__sentiment01.pdf_id
72,-0.070289855,NEGATIVE,72
73,-0.025,NEGATIVE,73
74,0.233333333,POSITIVE,74
75,0.086452763,POSITIVE,75
76,0.120833333,POSITIVE,76
77,-0.014285714,NEGATIVE,77
78,0.1015625,POSITIVE,78
79,0.105714286,POSITIVE,79
80,0.033333333,POSITIVE,80
81,0.090909091,POSITIVE,81
82,0.078857624,POSITIVE,82
83,-0.10625,NEGATIVE,83
84,0.063492063,POSITIVE,84
85,0.084416001,POSITIVE,85
86,0.096969697,POSITIVE,86
87,0.083333333,POSITIVE,87
88,0.208333333,POSITIVE,88
89,-0.053796204,NEGATIVE,89
90,0,NEUTRAL,90
91,-0.029145455,NEGATIVE,91
92,-0.064197531,NEGATIVE,92
93,0.082738095,POSITIVE,93
94,0.04375,POSITIVE,94
95,0.113528139,POSITIVE,95
96,-0.110858586,NEGATIVE,96
97,0.091428571,POSITIVE,97
98,-0.029811098,NEGATIVE,98
99,0.044689239,POSITIVE,99
100,0.016666667,POSITIVE,100
101,0.121875,POSITIVE,101
102,0.1,POSITIVE,102
103,0.0875,POSITIVE,103
104,0.045,POSITIVE,104
105,0,NEUTRAL,105
106,-0.19375,NEGATIVE,106
107,0.175,POSITIVE,107
108,0.080416667,POSITIVE,108
109,0.283333333,POSITIVE,109
110,0.167857143,POSITIVE,110
111,0.044616977,POSITIVE,111
112,0.044196429,POSITIVE,112
113,0.107359307,POSITIVE,113
114,-0.109722222,NEGATIVE,114
115,0,NEUTRAL,115
116,0.092559524,POSITIVE,116
117,0.1,POSITIVE,117
118,0.2875,POSITIVE,118
119,-0.009722222,NEGATIVE,119
120,-0.075,NEGATIVE,120
121,0.3275,POSITIVE,121
122,0.0875,POSITIVE,122
123,0.094130435,POSITIVE,123
124,0.030694444,POSITIVE,124
125,0.154761905,POSITIVE,125
126,-0.025595238,NEGATIVE,126
127,-0.116666667,NEGATIVE,127
128,0.125,POSITIVE,128
129,0.013736264,POSITIVE,129
130,0.05,POSITIVE,130
131,0.10515873,POSITIVE,131
132,-0.017179487,NEGATIVE,132
133,0,NEUTRAL,133
134,0.115651515,POSITIVE,134
135,-0.04,NEGATIVE,135
136,0,NEUTRAL,136
137,-0.001785714,NEGATIVE,137
138,-0.09,NEGATIVE,138
139,0.2,POSITIVE,139
140,0.092857143,POSITIVE,140
141,0.012,POSITIVE,141
142,0.175,POSITIVE,142
143,-0.025,NEGATIVE,143
144,-0.04425641,NEGATIVE,144
145,0.113636364,POSITIVE,145
146,0.214285714,POSITIVE,146
147,0.004545455,POSITIVE,147
148,0.166666667,POSITIVE,148
149,0.1115625,POSITIVE,149
150,0.018571429,POSITIVE,150
151,0.110218254,POSITIVE,151
152,0.031746032,POSITIVE,152
153,0.21875,POSITIVE,153
154,0.100297619,POSITIVE,154
155,-0.009090909,NEGATIVE,155
156,0.004648526,POSITIVE,156
157,0,NEUTRAL,157
158,0.116666667,POSITIVE,158
159,0.153571429,POSITIVE,159
160,-0.004545455,NEGATIVE,160
161,-0.041666667,NEGATIVE,161
162,0.048224242,POSITIVE,162
163,0.2375,POSITIVE,163
164,0.226623377,POSITIVE,164
165,0.135384615,POSITIVE,165
166,0.097222222,POSITIVE,166
167,0.188235294,POSITIVE,167
168,0.179166667,POSITIVE,168
169,-0.027380952,NEGATIVE,169
170,0.168636364,POSITIVE,170
171,0.07617619,POSITIVE,171
172,0.00952381,POSITIVE,172
173,0.065,POSITIVE,173
174,0.15,POSITIVE,174
175,0.087857143,POSITIVE,175
176,0.120681818,POSITIVE,176
177,0.191071429,POSITIVE,177
178,0,NEUTRAL,178
179,0.104166667,POSITIVE,179
180,0.230952381,POSITIVE,180
181,0.041798942,POSITIVE,181
182,0.041666667,POSITIVE,182
183,0.0875,POSITIVE,183
184,0.04,POSITIVE,184
185,-0.0765625,NEGATIVE,185
186,0.014224599,POSITIVE,186
187,0.255555556,POSITIVE,187
188,-0.039385965,NEGATIVE,188
189,0.091136364,POSITIVE,189
190,0.091666667,POSITIVE,190
191,0.017424242,POSITIVE,191
192,0.1,POSITIVE,192
193,-0.018181818,NEGATIVE,193
194,0.066666667,POSITIVE,194
195,-0.0375,NEGATIVE,195
196,0.310714286,POSITIVE,196
197,-0.119444444,NEGATIVE,197
198,0.076190476,POSITIVE,198
199,0.092098765,POSITIVE,199
200,0.254854669,POSITIVE,200
201,0.006944444,POSITIVE,201
202,-0.303333333,NEGATIVE,202
203,0.146857143,POSITIVE,203
204,0.17,POSITIVE,204
205,0.022916667,POSITIVE,205
206,0.078571429,POSITIVE,206
207,0.05,POSITIVE,207
208,0.076190476,POSITIVE,208
209,-0.055555556,NEGATIVE,209
210,0.017083333,POSITIVE,210
211,-0.183333333,NEGATIVE,211
212,-0.059210526,NEGATIVE,212
213,0.020222635,POSITIVE,213
214,0.006060606,POSITIVE,214
215,0.06577381,POSITIVE,215
216,0.091136364,POSITIVE,216
217,0.096153846,POSITIVE,217
218,0.1575,POSITIVE,218
219,-0.191666667,NEGATIVE,219
220,0.266666667,POSITIVE,220
221,0.066666667,POSITIVE,221
222,-0.013194444,NEGATIVE,222
223,0.082857143,POSITIVE,223
224,0.115625,POSITIVE,224
225,0.191738817,POSITIVE,225
226,0.073333333,POSITIVE,226
227,0.1,POSITIVE,227
228,0.166666667,POSITIVE,228
229,0.138888889,POSITIVE,229
230,0.171666667,POSITIVE,230
231,0.08580705,POSITIVE,231
232,0.1,POSITIVE,232
233,-0.018939394,NEGATIVE,233
234,-0.0265625,NEGATIVE,234
235,0,NEUTRAL,235
236,0.074603175,POSITIVE,236
237,0.158571429,POSITIVE,237
238,0.160714286,POSITIVE,238
239,0.174861111,POSITIVE,239
240,0.221691176,POSITIVE,240
241,0.010185185,POSITIVE,241
242,0.195,POSITIVE,242
243,0.007142857,POSITIVE,243
244,0.000378788,POSITIVE,244
245,0.184665335,POSITIVE,245
246,0.03974359,POSITIVE,246
247,0.06078869,POSITIVE,247
248,0.055555556,POSITIVE,248
249,0.110416667,POSITIVE,249
250,0.063214286,POSITIVE,250
251,0.002777778,POSITIVE,251
252,0,NEUTRAL,252
253,0.049319728,POSITIVE,253
254,0.09,POSITIVE,254
255,0.105,POSITIVE,255
256,-0.075,NEGATIVE,256
257,0.03125,POSITIVE,257
258,-0.046875,NEGATIVE,258
259,0.112380952,POSITIVE,259
260,-0.031439394,NEGATIVE,260
261,0.033119658,POSITIVE,261
262,-0.003571429,NEGATIVE,262
263,-0.25,NEGATIVE,263
264,0.189214286,POSITIVE,264
265,0.002380952,POSITIVE,265
266,0.135784314,POSITIVE,266
267,0.021428571,POSITIVE,267
268,0.034259259,POSITIVE,268
269,0.089944444,POSITIVE,269
270,0.05,POSITIVE,270
271,0.032011905,POSITIVE,271
272,0.011111111,POSITIVE,272
273,0,NEUTRAL,273
274,-0.03125,NEGATIVE,274
275,0.091385281,POSITIVE,275
276,0.0625,POSITIVE,276
277,0.111,POSITIVE,277
278,-0.125,NEGATIVE,278
279,0.165340909,POSITIVE,279
280,0.173958333,POSITIVE,280
281,0.062857143,POSITIVE,281
282,-0.05,NEGATIVE,282
283,-0.189285714,NEGATIVE,283
284,0.116666667,POSITIVE,284
285,-0.175,NEGATIVE,285
286,0.25,POSITIVE,286
287,0.116666667,POSITIVE,287
288,0.1,POSITIVE,288
289,0.06702381,POSITIVE,289
290,0.102314815,POSITIVE,290
291,0.29,POSITIVE,291
292,0.131313131,POSITIVE,292
293,-0.003125,NEGATIVE,293
294,0.009313725,POSITIVE,294
295,-0.05,NEGATIVE,295
296,0,NEUTRAL,296
297,0.035521886,POSITIVE,297
298,0.120833333,POSITIVE,298
299,0.071428571,POSITIVE,299
300,0.058333333,POSITIVE,300
301,0.0225,POSITIVE,301
302,0.08262987,POSITIVE,302
303,0.092534927,POSITIVE,303
304,-0.02,NEGATIVE,304
305,0.075,POSITIVE,305
306,0.205,POSITIVE,306
307,0,NEUTRAL,307
308,0.064718615,POSITIVE,308
309,-0.087878788,NEGATIVE,309
310,0.053846154,POSITIVE,310
311,-0.1,NEGATIVE,311
312,-0.033812616,NEGATIVE,312
313,0.107352941,POSITIVE,313
314,-0.1,NEGATIVE,314
315,-0.033333333,NEGATIVE,315
316,-0.058333333,NEGATIVE,316
317,0.233333333,POSITIVE,317
318,0.083333333,POSITIVE,318
319,0.072825397,POSITIVE,319
320,-0.028571429,NEGATIVE,320
321,0.063052721,POSITIVE,321
322,-0.006765873,NEGATIVE,322
323,-0.0375,NEGATIVE,323
324,0,NEUTRAL,324
325,0.11005291,POSITIVE,325
326,0.204166667,POSITIVE,326
327,0.111335404,POSITIVE,327
328,0.090909091,POSITIVE,328
329,0.133939394,POSITIVE,329
330,-0.033333333,NEGATIVE,330
331,0.133333333,POSITIVE,331
332,0.15959596,POSITIVE,332
333,0.325,POSITIVE,333
334,0.025843254,POSITIVE,334
335,0,NEUTRAL,335
336,0.375,POSITIVE,336
337,-0.00625,NEGATIVE,337
338,0.040151515,POSITIVE,338
339,0.203202479,POSITIVE,339
340,1,POSITIVE,340
341,0.06875,POSITIVE,341
342,-0.083333333,NEGATIVE,342
343,0.06931445,POSITIVE,343
344,0,NEUTRAL,344
345,0.047222222,POSITIVE,345
346,0.132556936,POSITIVE,346
347,-0.1125,NEGATIVE,347
348,0.067307692,POSITIVE,348
349,0.079285714,POSITIVE,349
350,0.018181818,POSITIVE,350
351,0.08030303,POSITIVE,351
352,0.0625,POSITIVE,352
353,0.087357955,POSITIVE,353
354,0.121428571,POSITIVE,354
355,0.064393939,POSITIVE,355
356,-0.064285714,NEGATIVE,356
357,0.027789256,POSITIVE,357
358,0.021060606,POSITIVE,358
359,0.04015873,POSITIVE,359
360,0.192680556,POSITIVE,360
361,-0.059206349,NEGATIVE,361
362,5.55E-18,POSITIVE,362
363,0.101428571,POSITIVE,363
364,0,NEUTRAL,364
365,0,NEUTRAL,365
366,0.475,POSITIVE,366
367,0.022943723,POSITIVE,367
368,0.153645833,POSITIVE,368
369,0.095927318,POSITIVE,369
370,0.03974359,POSITIVE,370
371,0.145833333,POSITIVE,371
372,0.089111111,POSITIVE,372
373,0.06875,POSITIVE,373
374,0.156565657,POSITIVE,374
375,-0.120634921,NEGATIVE,375
376,0.106663575,POSITIVE,376
377,-0.072222222,NEGATIVE,377
378,0.128787879,POSITIVE,378
379,0.076893939,POSITIVE,379
380,0.105223665,POSITIVE,380
381,-0.050770308,NEGATIVE,381
382,-0.1,NEGATIVE,382
383,-0.06547619,NEGATIVE,383
384,0.2,POSITIVE,384
385,0.096206109,POSITIVE,385
386,0.024603175,POSITIVE,386
387,0.133428571,POSITIVE,387
388,-0.008333333,NEGATIVE,388
389,0.2,POSITIVE,389
390,-0.06875,NEGATIVE,390
391,0.040782828,POSITIVE,391
392,-0.047222222,NEGATIVE,392
393,0.206944444,POSITIVE,393
394,0,NEUTRAL,394
395,0.126666667,POSITIVE,395
396,0.066666667,POSITIVE,396
397,0.05,POSITIVE,397
398,0,NEUTRAL,398
399,0.037272727,POSITIVE,399
400,0.060795455,POSITIVE,400
401,0.094444444,POSITIVE,401
402,-0.022857143,NEGATIVE,402
403,0.186666667,POSITIVE,403
404,0.07906746,POSITIVE,404
405,0.031060606,POSITIVE,405
406,-0.025,NEGATIVE,406
407,0.0185,POSITIVE,407
408,0.128571429,POSITIVE,408
409,-0.20625,NEGATIVE,409
410,0.095833333,POSITIVE,410
411,0.085151515,POSITIVE,411
412,0.09,POSITIVE,412
413,0.035714286,POSITIVE,413
414,0.19984127,POSITIVE,414
415,-0.026948052,NEGATIVE,415
416,0.022883598,POSITIVE,416
417,0.188278388,POSITIVE,417
418,0.183333333,POSITIVE,418
419,-0.054166667,NEGATIVE,419
420,0.022466667,POSITIVE,420
421,0.1875,POSITIVE,421
422,0.130194805,POSITIVE,422
423,0.269444444,POSITIVE,423
424,-0.041666667,NEGATIVE,424
425,0.051785714,POSITIVE,425
426,0.026666667,POSITIVE,426
427,0.052222222,POSITIVE,427
428,0.044642857,POSITIVE,428
429,0.085454545,POSITIVE,429
430,0.138888889,POSITIVE,430
431,0.044642857,POSITIVE,431
432,0,NEUTRAL,432
433,0,NEUTRAL,433
434,-0.091666667,NEGATIVE,434
435,0.128071928,POSITIVE,435
436,0.031037415,POSITIVE,436
437,0.131969697,POSITIVE,437
438,-0.025465839,NEGATIVE,438
439,0.135757576,POSITIVE,439
440,0,NEUTRAL,440
441,0.045432099,POSITIVE,441
442,0.13328373,POSITIVE,442
443,0.1,POSITIVE,443
444,0.144444444,POSITIVE,444
445,0.022142857,POSITIVE,445
446,0.064718615,POSITIVE,446
447,0.25,POSITIVE,447
448,0.100769231,POSITIVE,448
449,0.030555556,POSITIVE,449
450,0.133333333,POSITIVE,450
451,0.276190476,POSITIVE,451
452,0.099285714,POSITIVE,452
453,-0.055,NEGATIVE,453
454,0.168253968,POSITIVE,454
455,0.130619048,POSITIVE,455
456,0.044047619,POSITIVE,456
457,0.116666667,POSITIVE,457
458,0.082539683,POSITIVE,458
459,0.275892857,POSITIVE,459
460,0.095138889,POSITIVE,460
461,-0.05,NEGATIVE,461
462,0.016428571,POSITIVE,462
463,-0.013003663,NEGATIVE,463
464,0.076666667,POSITIVE,464
465,0.208333333,POSITIVE,465
466,-0.02797619,NEGATIVE,466
467,0.125,POSITIVE,467
468,-0.071428571,NEGATIVE,468
469,-0.125,NEGATIVE,469
470,0.051641414,POSITIVE,470
471,0.01,POSITIVE,471
472,0.136,POSITIVE,472
473,-0.069444444,NEGATIVE,473
474,0.17,POSITIVE,474
475,0.000757576,POSITIVE,475
476,-0.108333333,NEGATIVE,476
477,0.11380303,POSITIVE,477
478,0.164047619,POSITIVE,478
479,0.00952381,POSITIVE,479
480,0.155238095,POSITIVE,480
481,0.216233766,POSITIVE,481
482,0.077777778,POSITIVE,482
483,0.05547619,POSITIVE,483
484,0.058630952,POSITIVE,484
485,0.120905797,POSITIVE,485
486,0.03359375,POSITIVE,486
487,0.101041667,POSITIVE,487
488,-0.141964286,NEGATIVE,488
489,0,NEUTRAL,489
490,-0.0625,NEGATIVE,490
491,0,NEUTRAL,491
492,0.161666667,POSITIVE,492
493,-0.026520147,NEGATIVE,493
494,0.118571429,POSITIVE,494
495,0.000833333,POSITIVE,495
496,0.23015873,POSITIVE,496
497,0,NEUTRAL,497
498,0.063017598,POSITIVE,498
499,0.083333333,POSITIVE,499
500,0.025,POSITIVE,500
501,-0.041666667,NEGATIVE,501
502,0.120684524,POSITIVE,502
503,0.033416583,POSITIVE,503
504,-0.035606061,NEGATIVE,504
505,0.1,POSITIVE,505
506,0.077468672,POSITIVE,506
507,0.130606061,POSITIVE,507
508,0.03125,POSITIVE,508
509,0.094554568,POSITIVE,509
510,0.002645503,POSITIVE,510
511,0.157653061,POSITIVE,511
512,0.083333333,POSITIVE,512
513,0.25,POSITIVE,513
514,0.074603175,POSITIVE,514
515,0.125,POSITIVE,515
516,0.026666667,POSITIVE,516
517,0.084375,POSITIVE,517
518,0.0796875,POSITIVE,518
519,-0.056493506,NEGATIVE,519
520,0.045833333,POSITIVE,520
521,0.144981061,POSITIVE,521
522,0.044393939,POSITIVE,522
523,0.182083333,POSITIVE,523
524,0.064880952,POSITIVE,524
525,0.054285714,POSITIVE,525
526,-0.015384615,NEGATIVE,526
527,0.011136905,POSITIVE,527
528,-0.067045455,NEGATIVE,528
529,0.236111111,POSITIVE,529
530,0.123077413,POSITIVE,530
531,-0.013558201,NEGATIVE,531
532,0.215,POSITIVE,532
533,0.005769231,POSITIVE,533
534,0.04375,POSITIVE,534
535,0.069872835,POSITIVE,535
536,0.121063312,POSITIVE,536
537,0.066666667,POSITIVE,537
538,0.011130536,POSITIVE,538
539,0.098627451,POSITIVE,539
540,0.2,POSITIVE,540
541,0.038945578,POSITIVE,541
542,0.088270677,POSITIVE,542
543,0.041666667,POSITIVE,543
544,0.166666667,POSITIVE,544
545,0.072857143,POSITIVE,545
546,0.03125,POSITIVE,546
547,0.141942149,POSITIVE,547
548,0.190909091,POSITIVE,548
549,0.181547619,POSITIVE,549
550,0.160204082,POSITIVE,550
551,0,NEUTRAL,551
552,0.244166667,POSITIVE,552
553,0.079545455,POSITIVE,553
554,0.157142857,POSITIVE,554
555,-0.01733631,NEGATIVE,555
556,0.038541667,POSITIVE,556
557,0.175,POSITIVE,557
558,0.071428571,POSITIVE,558
559,0.10942029,POSITIVE,559
560,0.075,POSITIVE,560
561,0.051041667,POSITIVE,561
562,0.166666667,POSITIVE,562
563,0.257136364,POSITIVE,563
564,0.11684492,POSITIVE,564
565,0.145796131,POSITIVE,565
566,0.071212121,POSITIVE,566
567,0.109438776,POSITIVE,567
568,0.083333333,POSITIVE,568
569,0.003703704,POSITIVE,569
570,0.160327381,POSITIVE,570
571,0.151111111,POSITIVE,571
572,0.204761905,POSITIVE,572
573,-0.066666667,NEGATIVE,573
574,0.112568871,POSITIVE,574
575,0.366666667,POSITIVE,575
576,0.123571429,POSITIVE,576
577,0.166269841,POSITIVE,577
578,0.011111111,POSITIVE,578
579,-0.036868687,NEGATIVE,579
580,-0.055357143,NEGATIVE,580
581,0.266666667,POSITIVE,581
582,0.007904491,POSITIVE,582
583,0.216666667,POSITIVE,583
584,0.022222222,POSITIVE,584
585,-0.003333333,NEGATIVE,585
586,0.3125,POSITIVE,586
587,0.022966507,POSITIVE,587
588,-0.038333333,NEGATIVE,588
589,0.088560606,POSITIVE,589
590,0.096666667,POSITIVE,590
591,0.07,POSITIVE,591
592,0.081424242,POSITIVE,592
593,0.112301587,POSITIVE,593
594,0,NEUTRAL,594
595,0.0625,POSITIVE,595
596,0.053703704,POSITIVE,596
597,0.14496633,POSITIVE,597
598,0.181904762,POSITIVE,598
599,-0.004545455,NEGATIVE,599
600,0.139166667,POSITIVE,600
601,0.089027778,POSITIVE,601
602,0,NEUTRAL,602
603,0.138095238,POSITIVE,603
604,0.333333333,POSITIVE,604
605,0.167376894,POSITIVE,605
606,-0.025,NEGATIVE,606
607,0.11547619,POSITIVE,607
608,0.091102757,POSITIVE,608
609,-0.021722808,NEGATIVE,609
610,0.058526999,POSITIVE,610
611,0.083333333,POSITIVE,611
612,0.031813187,POSITIVE,612
613,-0.054166667,NEGATIVE,613
614,0.094927536,POSITIVE,614
615,0.045515873,POSITIVE,615
616,0.140227273,POSITIVE,616
617,0.016224747,POSITIVE,617
618,0.165384615,POSITIVE,618
619,0.108928571,POSITIVE,619
620,0.159440559,POSITIVE,620
621,0.155431548,POSITIVE,621
622,-0.071428571,NEGATIVE,622
623,0.1496875,POSITIVE,623
624,0.041025641,POSITIVE,624
625,0.05,POSITIVE,625
626,0.093939394,POSITIVE,626
627,0.08381996,POSITIVE,627
628,0.096825397,POSITIVE,628
629,0.100833333,POSITIVE,629
630,-0.022435897,NEGATIVE,630
631,0.140185185,POSITIVE,631
632,0.041402116,POSITIVE,632
633,0.038803419,POSITIVE,633
634,0.25,POSITIVE,634
635,-0.082142857,NEGATIVE,635
636,-0.05,NEGATIVE,636
637,0.061616162,POSITIVE,637
638,0.023214286,POSITIVE,638
639,0.195833333,POSITIVE,639
640,0.048809524,POSITIVE,640
641,0.202721088,POSITIVE,641
642,0.21,POSITIVE,642
643,0.180555556,POSITIVE,643
644,0.002886003,POSITIVE,644
645,0.008333333,POSITIVE,645
646,0.083333333,POSITIVE,646
647,0.1748076,POSITIVE,647
648,0.247272727,POSITIVE,648
649,0,NEUTRAL,649
650,-0.266666667,NEGATIVE,650
651,0.02202381,POSITIVE,651
652,0,NEUTRAL,652
653,0.150515152,POSITIVE,653
654,0.094237013,POSITIVE,654
655,0,NEUTRAL,655
656,-0.067857143,NEGATIVE,656
657,0.211111111,POSITIVE,657
658,0.060606061,POSITIVE,658
659,0.031232493,POSITIVE,659
660,-0.126515152,NEGATIVE,660
661,0,NEUTRAL,661
662,-0.070833333,NEGATIVE,662
663,0.125,POSITIVE,663
664,0.33,POSITIVE,664
665,-0.083333333,NEGATIVE,665
666,0.2,POSITIVE,666
667,0.011355311,POSITIVE,667
668,0,NEUTRAL,668
669,-0.066666667,NEGATIVE,669
670,-0.055357143,NEGATIVE,670
671,0.305272727,POSITIVE,671
672,0.081818182,POSITIVE,672
673,-0.002840909,NEGATIVE,673
674,0.10297619,POSITIVE,674
675,0,NEUTRAL,675
676,0.051428571,POSITIVE,676
677,0.04534632,POSITIVE,677
678,0.044949495,POSITIVE,678
679,0.023129252,POSITIVE,679
680,-0.123958333,NEGATIVE,680
681,0.175,POSITIVE,681
682,0.069786096,POSITIVE,682
683,0.214285714,POSITIVE,683
684,0.3,POSITIVE,684
685,-0.108928571,NEGATIVE,685
686,0.001680672,POSITIVE,686
687,0.094967532,POSITIVE,687
688,-0.009438776,NEGATIVE,688
689,0.117965368,POSITIVE,689
690,0.098051948,POSITIVE,690
691,0.073169192,POSITIVE,691
692,0.09537415,POSITIVE,692
693,0.137037037,POSITIVE,693
694,0,NEUTRAL,694
695,0.122655123,POSITIVE,695
696,0.116666667,POSITIVE,696
697,0.1125,POSITIVE,697
698,0.092083333,POSITIVE,698
699,0.129809091,POSITIVE,699
700,-0.074545455,NEGATIVE,700
701,0.237254902,POSITIVE,701
702,0.085602679,POSITIVE,702
703,0.084901961,POSITIVE,703
704,-0.003125,NEGATIVE,704
705,0.101913876,POSITIVE,705
706,0.048308271,POSITIVE,706
707,0.125,POSITIVE,707
708,0.094155844,POSITIVE,708
709,-0.013888889,NEGATIVE,709
710,-0.002747253,NEGATIVE,710
711,0.080687831,POSITIVE,711
712,0.027840909,POSITIVE,712
713,0.026785714,POSITIVE,713
714,-0.046266234,NEGATIVE,714
715,0.097619048,POSITIVE,715
716,0.007692308,POSITIVE,716
717,0.107142857,POSITIVE,717
718,0.045595238,POSITIVE,718
719,-0.039583333,NEGATIVE,719
720,-0.0225,NEGATIVE,720
721,0.222727273,POSITIVE,721
722,-0.005555556,NEGATIVE,722
723,0.05,POSITIVE,723
724,-0.066666667,NEGATIVE,724
725,0.113888889,POSITIVE,725
726,0.066666667,POSITIVE,726
727,-0.04375,NEGATIVE,727
728,0.169940476,POSITIVE,728
729,0.083035714,POSITIVE,729
730,0,NEUTRAL,730
731,0,NEUTRAL,731
732,0.019770408,POSITIVE,732
733,0.059259259,POSITIVE,733
734,0.105545455,POSITIVE,734
735,0.169464286,POSITIVE,735
736,-0.15625,NEGATIVE,736
737,-0.017561983,NEGATIVE,737
738,0.170436508,POSITIVE,738
739,0.029563492,POSITIVE,739
740,0.081521739,POSITIVE,740
741,0.035858586,POSITIVE,741
742,0.24375,POSITIVE,742
743,0.014814815,POSITIVE,743
744,0.12953713,POSITIVE,744
745,0.09375,POSITIVE,745
746,0.0875,POSITIVE,746
747,-0.033333333,NEGATIVE,747
748,0,NEUTRAL,748
749,0.045454545,POSITIVE,749
750,0.055769231,POSITIVE,750
751,0.31,POSITIVE,751
752,0.111805556,POSITIVE,752
753,0.25,POSITIVE,753
754,0.196031746,POSITIVE,754
755,0.072,POSITIVE,755
756,-0.015625,NEGATIVE,756
757,0.126641414,POSITIVE,757
758,-0.092261905,NEGATIVE,758
759,0.075757576,POSITIVE,759
760,-0.019866071,NEGATIVE,760
761,0.123148148,POSITIVE,761
762,-0.128030303,NEGATIVE,762
763,-0.07191358,NEGATIVE,763
764,0.145833333,POSITIVE,764
765,0.152268519,POSITIVE,765
766,0.03125,POSITIVE,766
767,0.074074074,POSITIVE,767
768,0.135714286,POSITIVE,768
769,0.061178571,POSITIVE,769
770,0.130519481,POSITIVE,770
771,-0.15,NEGATIVE,771
772,0.15,POSITIVE,772
773,-0.016666667,NEGATIVE,773
774,0.09047619,POSITIVE,774
775,0.024458874,POSITIVE,775
776,0.030418019,POSITIVE,776
777,0.120036075,POSITIVE,777
778,0.016666667,POSITIVE,778
779,0.154421769,POSITIVE,779
780,0.068181818,POSITIVE,780
781,0.092857143,POSITIVE,781
782,0.011904762,POSITIVE,782
783,0.011105006,POSITIVE,783
784,0.025,POSITIVE,784
785,0.040625,POSITIVE,785
786,0.064687208,POSITIVE,786
787,0.141666667,POSITIVE,787
788,0.170868687,POSITIVE,788
789,0.04,POSITIVE,789
790,0.238333333,POSITIVE,790
791,0.178438228,POSITIVE,791
792,0.046090476,POSITIVE,792
793,0.171428571,POSITIVE,793
794,0.154910714,POSITIVE,794
795,0.035833333,POSITIVE,795
796,0.2375,POSITIVE,796
797,-0.05952381,NEGATIVE,797
798,0.027777778,POSITIVE,798
799,0.135107143,POSITIVE,799
800,0.049181548,POSITIVE,800
801,0,NEUTRAL,801
802,0.098737374,POSITIVE,802
803,0.127777778,POSITIVE,803
804,0.129479578,POSITIVE,804
805,0.086349206,POSITIVE,805
806,0.066666667,POSITIVE,806
807,0.077777778,POSITIVE,807
808,0.045,POSITIVE,808
809,0,NEUTRAL,809
810,-0.072222222,NEGATIVE,810
811,0.124761905,POSITIVE,811
812,-0.083333333,NEGATIVE,812
813,-0.533333333,NEGATIVE,813
814,0.04,POSITIVE,814
815,0,NEUTRAL,815
816,0.086666667,POSITIVE,816
817,0.071428571,POSITIVE,817
818,0.136363636,POSITIVE,818
819,0.028512397,POSITIVE,819
820,0.090634921,POSITIVE,820
821,0.25,POSITIVE,821
